1.027	0.0172	0.04774
1.018	0.00706	0.06633
1.025	-0.01033	0.07481
1.032	-0.01302	0.06096
1.025	-0.01927	0.05559
1.006	-0.004689	0.04882
0.9942	0.007874	0.03393
1	0.01337	0.02352
1.008	0.02604	0.01045
1.015	0.02158	0.005877
1.026	0.04143	0.01372
1.03	0.06312	0.02988
1.024	0.05356	0.0449
1.017	0.04698	0.04928
1.016	0.03223	0.0427
1.023	0.02486	0.04294
1.036	0.02105	0.06585
1.055	0.009912	0.0592
1.054	0.01759	0.03482
1.031	0.02274	0.03679
1.025	0.03086	0.0199
1.031	0.04994	0.003813
1.03	0.05594	0.0007304
1.021	0.04893	-0.008633
1.011	0.0333	0.004538
1.007	0.0211	0.014
1.014	0.01118	0.01995
1.025	0.00461	0.03035
1.024	0.004727	0.03122
1.022	0.001576	0.05259
1.024	0.008581	0.06261
1.021	0.01806	0.05552
1.021	0.01936	0.06277
1.021	0.01731	0.05595
1.023	0.01164	0.04903
1.029	0.02069	0.04732
1.029	0.02621	0.03493
1.028	0.01928	0.02813
1.025	0.02785	0.0211
1.022	0.03282	0.01761
1.027	0.02893	0.01874
1.03	0.03065	0.01815
1.027	0.03188	0.02611
1.021	0.0373	0.03166
1.017	0.04213	0.03124
1.02	0.04097	0.03096
1.025	0.03803	0.02991
1.026	0.03224	0.03291
1.025	0.02556	0.03587
1.024	0.01796	0.03635
1.025	0.0122	0.0339
1.026	0.01076	0.03089
1.026	0.0115	0.03564
1.026	0.01341	0.03991
1.025	0.01492	0.03684
1.025	0.01946	0.03304
1.025	0.02293	0.03166
1.023	0.01934	0.0311
1.023	0.02005	0.03132
1.023	0.02678	0.03411
1.023	0.02805	0.0358
1.023	0.02631	0.03472
1.023	0.02668	0.03228
1.024	0.02902	0.03051
1.023	0.034	0.03348
1.023	0.03557	0.03425
1.024	0.0331	0.032
1.025	0.0312	0.03344
1.026	0.02607	0.03267
1.026	0.02115	0.03095
1.025	0.02076	0.03337
1.026	0.01913	0.0322
1.025	0.01575	0.02348
1.024	0.01568	0.02202
1.024	0.0204	0.03525
1.027	0.02374	0.03991
1.03	0.02383	0.03402
1.025	0.02468	0.03777
1.017	0.0245	0.04253
1.015	0.02452	0.04158
